Gender,USCitizen,English,POE,BooksReadSummer,ReadProgHS,PartReadProgHS,OwnBookSummer,PercentReadSummer,WhyNotRead,OtherReasonsNot,FamilyRead,SummerSurvey,QuizScore,FirstGen,PercentReadSummerFollowup,PercentReadSemester,Reread,CWSRead,CWSWrite,Think,Challenge,EnjoyBook,EventAdd,CourseEffect,FollowupSurvey,Book,Year,PercentReadSemesterM,ReadSummer,ReadFollowup,ReadSemester,Read,AttendEvent,ConversationsCount,ConversationsWith,BookLength,BookDifficulty,KnowSummerRead,WhichOrientation
Female,Yes,Yes,Humanities,58,No,Yes,Yes,100,,,Yes,Yes,0.75,No,100,100,Yes,All of the book,Formal Essay for CWS,3,3,3,,No,Yes,Handmaid's Tale,2017,100,Yes,Yes,Yes,Yes,No,3,"Individual, Group",2,2,"Email, Orientation",June
Female,Yes,Yes,Humanities,58,No,Yes,Yes,100,,,Yes,Yes,0.75,No,1,0,No,The book was not assigned.,None,2,4,3,,No,Yes,Handmaid's Tale,2017,1,Yes,No,No,Yes,No,2,Individual,2,2,"Email, Orientation",June
Female,Yes,Yes,Humanities,58,No,Yes,Yes,100,,,Yes,Yes,0.75,No,1,0,No,The book was not assigned.,None,4,4,4,5,No,Yes,Handmaid's Tale,2017,1,Yes,No,No,Yes,Yes,5,"Individual, Group",2,2,"Email, Orientation",June
Female,Yes,Yes,Humanities,58,No,Yes,Yes,100,,,Yes,Yes,0.75,Yes,85,95,Yes,Some of the chapters in the book.,Formal Essay for CWS,5,5,5,5,No,Yes,Handmaid's Tale,2017,95,Yes,Yes,Yes,Yes,Yes,,Group,2,2,"Email, Orientation",June
Female,Yes,Yes,Humanities,58,No,Yes,Yes,100,,,Yes,Yes,0.75,Yes,30,70,No,All of the book,Response/Reflection Paper,2,3,5,,No,Yes,Handmaid's Tale,2017,70,Yes,No,No,Yes,No,2,Individual,2,2,"Email, Orientation",June
Female,Yes,Yes,Humanities,58,No,Yes,Yes,100,,,Yes,Yes,0.75,No,100,0,No,The book was not assigned.,None,4,3,5,,No,Yes,Handmaid's Tale,2017,100,Yes,Yes,Yes,Yes,No,0,,2,2,"Email, Orientation",June
Female,Yes,Yes,Humanities,58,No,Yes,Yes,100,,,Yes,Yes,0.75,No,100,100,Yes,All of the book,Formal Essay for CWS,2,3,3,,No,Yes,Handmaid's Tale,2017,100,Yes,Yes,Yes,Yes,No,,,2,2,"Email, Orientation",June
Male,Yes,Yes,Natural Sciences,0,,Yes,Yes,60,Too Busy,,No,Yes,0.75,No,65,65,No,The book was not assigned.,None,3,3,1,,No,Yes,Handmaid's Tale,2017,65,No,No,No,No,No,1,Individual,3,4,Email,June
Male,Yes,Yes,Social Sciences,0,No,No,Yes,2,Too Busy,,No,Yes,0.25,No,0,0,No,The book was not assigned.,None,3,3,3,,No,Yes,Handmaid's Tale,2017,0,No,No,No,No,No,0,,3,3,Orientation,June
Male,Yes,Yes,Natural Sciences,,Yes,Yes,Yes,0,,i forgot about it.,No,Yes,0.75,No,0,0,No,The book was not assigned.,None,3,3,3,,No,Yes,Handmaid's Tale,2017,0,No,No,No,No,No,2,Individual,3,,Orientation,June
Male,Yes,Yes,Natural Sciences,,Yes,Yes,Yes,0,,i forgot about it.,No,Yes,0.75,No,100,100,Yes,All of the book,Formal Essay for CWS,3,3,3,,No,Yes,Handmaid's Tale,2017,100,No,Yes,Yes,Yes,No,3,"Individual, Group",3,,Orientation,June
Male,Yes,Yes,Natural Sciences,,Yes,Yes,Yes,0,,i forgot about it.,No,Yes,0.75,No,1,0,No,The book was not assigned.,None,2,4,3,,No,Yes,Handmaid's Tale,2017,1,No,No,No,No,No,2,Individual,3,,Orientation,June
Male,Yes,Yes,Natural Sciences,,Yes,Yes,Yes,0,,i forgot about it.,No,Yes,0.75,No,1,0,No,The book was not assigned.,None,4,4,4,5,No,Yes,Handmaid's Tale,2017,1,No,No,No,No,Yes,5,"Individual, Group",3,,Orientation,June
Male,Yes,Yes,Natural Sciences,,Yes,Yes,Yes,0,,i forgot about it.,No,Yes,0.75,Yes,85,95,Yes,Some of the chapters in the book.,Formal Essay for CWS,5,5,5,5,No,Yes,Handmaid's Tale,2017,95,No,Yes,Yes,Yes,Yes,,Group,3,,Orientation,June
Male,Yes,Yes,Natural Sciences,,Yes,Yes,Yes,0,,i forgot about it.,No,Yes,0.75,Yes,30,70,No,All of the book,Response/Reflection Paper,2,3,5,,No,Yes,Handmaid's Tale,2017,70,No,No,No,No,No,2,Individual,3,,Orientation,June
Male,Yes,Yes,Natural Sciences,,Yes,Yes,Yes,0,,i forgot about it.,No,Yes,0.75,No,100,0,No,The book was not assigned.,None,4,3,5,,No,Yes,Handmaid's Tale,2017,100,No,Yes,Yes,Yes,No,0,,3,,Orientation,June
Male,Yes,Yes,Natural Sciences,,Yes,Yes,Yes,0,,i forgot about it.,No,Yes,0.75,No,100,100,Yes,All of the book,Formal Essay for CWS,2,3,3,,No,Yes,Handmaid's Tale,2017,100,No,Yes,Yes,Yes,No,,,3,,Orientation,June
Female,Yes,Yes,Humanities,1,No,No,Yes,90,Too Busy,,No,Yes,0.5,No,100,100,No,The book was not assigned.,None,3,3,3,,No,Yes,Handmaid's Tale,2017,100,Yes,Yes,Yes,Yes,No,0,,3,3,Orientation,June
Female,Yes,Yes,Exploratory,10,Yes,Yes,Yes,100,,,No,Yes,0.5,,,,,,,,,,,,,Handmaid's Tale,2017,,Yes,,,,,,,3,2,Email,June
Male,Yes,Yes,Exploratory,1,Yes,Yes,Yes,90,Too Busy,,No,Yes,0.75,,,,,,,,,,,,,Handmaid's Tale,2017,,Yes,,,,,,,4,2,Orientation,June
Male,Yes,Yes,Natural Sciences,1,No,No,Yes,25,"Too Busy, Not Reader",,No,Yes,0.5,,,,,,,,,,,,,Handmaid's Tale,2017,,No,,,,,,,3,3,Orientation,June
Male,Yes,Yes,Natural Sciences,2,No,No,Yes,1,,,No,Yes,0.5,,,,,,,,,,,,,Handmaid's Tale,2017,,No,,,,,,,3,2,Orientation,June
Female,Yes,Yes,Natural Sciences,6,Yes,Yes,Yes,100,,,No,Yes,0.5,,,,,,,,,,,,,Handmaid's Tale,2017,,Yes,,,,,,,3,3,"Email, Orientation",June
Female,Yes,Yes,Humanities,2,No,No,Yes,25,Too Busy,,No,Yes,0.5,,,,,,,,,,,,,Handmaid's Tale,2017,,No,,,,,,,4,3,Email,June
Female,Yes,Yes,Exploratory,1,No,No,Yes,30,Too Busy,,No,Yes,0.5,Yes,65,65,No,Some of the chapters in the book.,None,3,3,5,3,No,Yes,Handmaid's Tale,2017,65,No,No,No,No,Yes,1,Individual,3,4,Orientation,June
Female,Yes,Yes,Natural Sciences,1,Yes,Yes,Yes,100,,,No,Yes,0.75,No,100,0,No,The book was not assigned.,None,3,4,4,,No,Yes,Handmaid's Tale,2017,100,Yes,Yes,Yes,Yes,No,0,,3,2,Email,August
Male,Yes,Yes,Social Sciences,0,Yes,Yes,Yes,0,,I forgot about the summer reading project.,No,Yes,0.25,No,0,0,No,The book was not assigned.,None,3,3,3,,No,Yes,Handmaid's Tale,2017,0,No,No,No,No,No,0,,3,3,Orientation,June
Male,Yes,Yes,Social Sciences,0,No,No,Yes,5,Too Busy,,No,Yes,0.25,Yes,0,0,No,The book was not assigned.,None,1,1,1,,No,Yes,Handmaid's Tale,2017,0,No,No,No,No,No,0,,3,3,Email,June
Female,Yes,Yes,Natural Sciences,3,No,No,Yes,100,,,No,Yes,0.5,,,,,,,,,,,,,Handmaid's Tale,2017,,Yes,,,,,,,3,4,Facebook Group,August
Female,Yes,Yes,Natural Sciences,4,Yes,Yes,Yes,100,,,Yes,Yes,0.5,No,100,100,Yes,All of the book,"Formal Essay for CWS, Response/Reflection Paper",4,3,2,,No,Yes,Handmaid's Tale,2017,100,Yes,Yes,Yes,Yes,No,3,Individual,3,3,Email,June
Female,Yes,Yes,Natural Sciences,1,Yes,Yes,Yes,50,Too Busy,i lost the book,No,Yes,0.5,,,,,,,,,,,,,Handmaid's Tale,2017,,No,,,,,,,3,2,Orientation,June
Female,Yes,Yes,Natural Sciences,1,Yes,Yes,Yes,95,Topic Dislike,,No,Yes,1,No,100,0,No,The book was not assigned.,None,3,3,3,3,No,Yes,Handmaid's Tale,2017,100,Yes,Yes,Yes,Yes,Yes,0,Group,3,2,"Orientation, Classmate",June
Male,Yes,Yes,Exploratory,2,No,No,Yes,60,"Too Busy, Not Reader, Topic Dislike",,No,Yes,,Yes,0,0,No,The book was not assigned.,None,3,3,3,,No,Yes,Handmaid's Tale,2017,0,No,No,No,No,No,3,Individual,4,4,Orientation,June
Female,Yes,Yes,Social Sciences,8,Yes,Yes,Yes,0,"Too Busy, Boring, Topic Dislike",,No,Yes,,No,5,0,No,The book was not assigned.,None,3,3,3,,No,Yes,Handmaid's Tale,2017,5,No,No,No,No,No,0,,,,Classmate,June
Male,Yes,Yes,Natural Sciences,1,No,No,No,0,Too Busy,,No,Yes,0,Yes,0,0,Yes,The book was not assigned.,None,3,3,3,,No,Yes,Handmaid's Tale,2017,0,No,No,No,No,No,,,3,3,Orientation,June
Female,Yes,Yes,Fine Arts,3,No,No,Yes,75,Too Busy,,No,Yes,0.5,,,,,,,,,,,,,Handmaid's Tale,2017,,No,,,,,,,3,3,Email,August
Male,Yes,Yes,Humanities,2,Yes,Yes,Yes,100,,,No,Yes,1,No,0,0,No,The book was not assigned.,None,3,3,3,,No,Yes,Handmaid's Tale,2017,0,Yes,No,No,Yes,No,2,Individual,4,3,Orientation,June
Male,Yes,Yes,Humanities,2,Yes,Yes,Yes,100,,,No,Yes,1,No,100,100,Yes,All of the book,Formal Essay for CWS,3,3,3,,No,Yes,Handmaid's Tale,2017,100,Yes,Yes,Yes,Yes,No,3,"Individual, Group",4,3,Orientation,June
